Latitude,Longitude,Label,Year,Image_URL
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078433_001.jpg?itok=Qz1y83E-
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078434_001.jpg?itok=talvK6Tk
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078435_001.jpg?itok=nFJzyZAt
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078437_001.jpg?itok=F5E60zK2
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078436_001.jpg?itok=5mLzBv6a
48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078524_001.jpg?itok=4enMt1Ut
48.888753,2.346339,Rue Custine 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078439_001.jpg?itok=eNrLODzg
48.888753,2.346339,Rue Custine 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078440_001.jpg?itok=4XLHikCe
48.888753,2.346339,Rue Custine 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078441_001.jpg?itok=mgEimcWn
48.888753,2.346339,Rue Custine 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078442_001.jpg?itok=6MpN5A6l
48.883729,2.343558,Rue de Steinkerque 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078443_001.jpg?itok=RJxZCeZk
48.883729,2.343558,Rue de Steinkerque 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078444_001.jpg?itok=q_CqCwsp
48.848878,2.32856,Rue de Rennes 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078534_001.jpg?itok=9-9GA5Ch
48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078536_001.jpg?itok=Z891l6ws
48.887704,2.349532,Boulevard Barbès 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078447_001.jpg?itok=evfvOL_E
48.887704,2.349532,Boulevard Barbès 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078448_001.jpg?itok=4DDKzoye
